,county_x,state_name,lat,lng,population,county_state,density
1234,Addison,Vermont,44.0309,-73.1408,37497,Addison_VT,48.68602144953128
1235,Houghton,Michigan,46.8976,-88.6875,37428,Houghton_MI,36.99442533507295
1236,Yadkin,North Carolina,36.1605,-80.6652,37419,Yadkin_NC,111.51542244076889
1237,Steele,Minnesota,44.0223,-93.2261,37413,Steele_MN,87.09812594575719
1238,Hopkins,Texas,33.1496,-95.5639,37351,Hopkins_TX,47.7390081799591
1239,Bennington,Vermont,43.0354,-73.0932,37312,Bennington_VT,55.1732296272199
1240,Clarion,Pennsylvania,41.1924,-79.421,37297,Clarion_PA,61.909899741053046
1241,Marion,Illinois,38.6496,-88.919,37294,Marion_IL,65.16967811833781
1242,Orange,Virginia,38.2461,-78.014,37208,Orange_VA,108.89083991805678
1243,Dodge,Nebraska,41.5779,-96.654,37146,Dodge_NE,69.5110312692977
1244,Sagadahoc,Maine,43.9598,-69.8546,37093,Sagadahoc_ME,146.0929499803072
1245,Putnam,Indiana,39.6663,-86.845,37091,Putnam_IN,77.22304345110449
1246,Essex,New York,44.1172,-73.7726,37077,Essex_NY,20.635017809439002
1247,Natchitoches,Louisiana,31.7234,-93.0962,37047,Natchitoches_LA,29.50894101716516
1248,Green,Wisconsin,42.68,-89.6022,37036,Green_WI,63.41889415914656
1249,Clark,Kentucky,37.9708,-84.1474,37004,Clark_KY,145.5074515355275
1250,Okmulgee,Oklahoma,35.6466,-95.9643,36922,Okmulgee_OK,52.97502044564328
1251,Clinton,Illinois,38.6065,-89.4225,36899,Clinton_IL,77.80823650971047
1252,Williams,Ohio,41.5603,-84.5881,36862,Williams_OH,87.40456205244938
1253,Webster,Iowa,42.4279,-94.1818,36848,Webster_IA,51.51909176069236
1254,Delta,Michigan,45.9193,-86.9241,36829,Delta_MI,31.476970675965575
1255,Jefferson,Illinois,38.3005,-88.924,36808,Jefferson_IL,64.46686282751855
1256,McLeod,Minnesota,44.8236,-94.2724,36771,McLeod_MN,74.75147892907239
1257,Huntington,Indiana,40.8292,-85.4881,36757,Huntington_IN,96.07412634935571
1258,Whitley,Kentucky,36.7581,-84.1452,36755,Whitley_KY,83.50562308303988
1259,Escambia,Alabama,31.1262,-87.1615,36695,Escambia_AL,38.7331377060947
1260,Dyer,Tennessee,36.0592,-89.4137,36681,Dyer_TN,71.85308521057786
1261,Coshocton,Ohio,40.3017,-81.9201,36679,Coshocton_OH,65.02561738791285
1262,Hill,Texas,31.9907,-97.1324,36664,Hill_TX,38.09800906105823
1263,Beauregard,Louisiana,30.6486,-93.3432,36646,Beauregard_LA,31.58892844520684
1264,Graves,Kentucky,36.7231,-88.6512,36612,Graves_KY,65.89751435411004
1265,Fannin,Texas,33.5938,-96.1069,36525,Fannin_TX,40.972572774692914
1266,Cocke,Tennessee,35.9254,-83.1212,36503,Cocke_TN,84.03084714548804
1267,Warren,Missouri,38.7646,-91.1607,36467,Warren_MO,84.54939602606014
1268,Uintah,Utah,40.1248,-109.5186,36458,Uintah_UT,8.143272274054237
1269,Carlton,Minnesota,46.5924,-92.677,36457,Carlton_MN,42.37560006044192
1270,Chippewa,Michigan,46.3053,-84.578,36448,Chippewa_MI,23.348237735897403
1271,Alexander,North Carolina,35.921,-81.177,36440,Alexander_NC,140.05688369590283
1272,Matagorda,Texas,28.8212,-96.011,36274,Matagorda_TX,32.548498824542826
1273,Laclede,Missouri,37.6583,-92.5903,36245,Laclede_MO,47.32649996735653
1274,Webster,Louisiana,32.7135,-93.335,36189,Webster_LA,60.79936830079634
1275,Washington,Texas,30.2145,-96.4034,36156,Washington_TX,59.34801877810971
1276,Knox,Indiana,38.6891,-87.418,36108,Knox_IN,69.99980613768102
1277,Adams,Indiana,40.7457,-84.9367,35995,Adams_IN,106.06730315888731
1278,Sioux,Iowa,43.0826,-96.1779,35984,Sioux_IA,46.86148877428765
1279,Ware,Georgia,31.0538,-82.4237,35958,Ware_GA,39.85193230557803
1280,Scotts Bluff,Nebraska,41.8506,-103.708,35937,Scotts Bluff_NE,48.61146806985269
1281,Geary,Kansas,39.0024,-96.7525,35895,Geary_KS,93.30889807377369
1282,Lincoln,Maine,44.0665,-69.5434,35840,Lincoln_ME,78.59821487313319
1283,Wasatch,Utah,40.3308,-111.1682,35808,Wasatch_UT,30.41303221532372
1284,Miami,Indiana,40.7695,-86.045,35772,Miami_IN,95.2345455513551
1285,Wise,Virginia,36.9752,-82.6212,35727,Wise_VA,88.42441342441342
1286,Livingston,Illinois,40.8916,-88.5577,35659,Livingston_IL,34.16398405763777
1287,Greenup,Kentucky,38.5457,-82.9223,35639,Greenup_KY,102.9701539972841
1288,Lincoln,Tennessee,35.1405,-86.589,35617,Lincoln_TN,62.46076144713536
1289,Silver Bow,Montana,45.9024,-112.6567,35589,Silver Bow_MT,49.54546087343905
1290,Madison,Nebraska,41.9167,-97.6008,35535,Madison_NE,62.06228059451246
1291,Harris,Georgia,32.736,-84.9089,35509,Harris_GA,76.57918005564062
1292,Perry,Ohio,39.7372,-82.2361,35474,Perry_OH,86.56840255746987
1293,Floyd,Kentucky,37.5571,-82.7457,35342,Floyd_KY,89.6345329579751
1294,Marshall,Tennessee,35.4689,-86.765,35276,Marshall_TN,93.97911338448422
1295,Greene,Pennsylvania,39.8538,-80.2229,35265,Greene_PA,61.238842774285416
1296,Wapello,Iowa,41.0306,-92.4095,35265,Wapello_IA,81.66786318056553
1297,Becker,Minnesota,46.9346,-95.674,35260,Becker_MN,26.907403733154254
1298,Morrow,Ohio,40.5241,-82.7941,35214,Morrow_OH,86.68701688740092
1299,Monroe,Illinois,38.2785,-90.1773,34969,Monroe_IL,90.05897653815447
1300,Brookings,South Dakota,44.3697,-96.7904,34968,Brookings_SD,44.01480250736349
1301,Barry,Missouri,36.7099,-93.8291,34831,Barry_MO,44.70900829204426
1302,Lincoln,Mississippi,31.5324,-90.454,34830,Lincoln_MS,59.46628877772276
1303,Clark,Wisconsin,44.7347,-90.6121,34736,Clark_WI,28.574248955282812
1304,DeSoto,Florida,27.1864,-81.8095,34719,DeSoto_FL,54.48083230028089
1305,Steuben,Indiana,41.6439,-85.0008,34648,Steuben_IN,112.23114796579424
1306,Miami,Kansas,38.5635,-94.8381,34625,Miami_KS,60.0377999722569
1307,Wakulla,Florida,30.1673,-84.4007,34608,Wakulla_FL,57.04678073385422
1308,Taos,New Mexico,36.5783,-105.631,34516,Taos_NM,15.666516882492045
1309,Effingham,Illinois,39.0598,-88.5899,34505,Effingham_IL,72.08063505326928
1310,Alcorn,Mississippi,34.8808,-88.5803,34500,Alcorn_MS,86.27372527445047
1311,Cowley,Kansas,37.2377,-96.8375,34487,Cowley_KS,30.62135956812047
1312,Chambers,Alabama,32.9143,-85.392,34450,Chambers_AL,57.68876534320211
1313,Whitley,Indiana,41.1394,-85.5051,34388,Whitley_IN,102.49165474487363
1314,Platte,Nebraska,41.5713,-97.5211,34358,Platte_NE,50.670284778857635
1315,Scotland,North Carolina,34.8409,-79.4804,34353,Scotland_NC,107.64241398759165
1316,Putnam,Ohio,41.0221,-84.1317,34352,Putnam_OH,70.99427532188398
1317,Nicollet,Minnesota,44.3499,-94.2475,34350,Nicollet_MN,75.94684826107144
1318,Preston,West Virginia,39.4693,-79.6682,34204,Preston_WV,52.75789733464955
1319,Pickens,Georgia,34.4643,-84.4656,34197,Pickens_GA,147.31831301425925
1320,Emmet,Michigan,45.5202,-84.8904,34159,Emmet_MI,73.01739985464495
1321,Ford,Kansas,37.6917,-99.888,34133,Ford_KS,31.072371415566682
1322,Morrison,Minnesota,46.0126,-94.2684,34131,Morrison_MN,30.352156514006225
1323,Lincoln,Nebraska,41.0477,-100.7453,34122,Lincoln_NE,13.308216132731145
